Row,Type,Size,Charge,Mass,m/z,RT
P_Cluster_1641,2D PEAK CLUSTER,2,1,289.127927180,290.135203647,1.60003530873
P_Cluster_1642,2D PEAK CLUSTER,2,1,289.127704405,290.134980872,1.81832515259
P_Cluster_1643,2D PEAK CLUSTER,2,1,289.204159840,290.211436306,9.04317220151
P_Cluster_1644,2D PEAK CLUSTER,2,1,289.276986674,290.284263141,9.08030780911
P_Cluster_1645,2D PEAK CLUSTER,2,1,289.972412125,290.979688591,2.05426567915
P_Cluster_1646,2D PEAK CLUSTER,2,1,290.012462629,291.019739096,1.49370995100
P_Cluster_1647,2D PEAK CLUSTER,2,1,289.999090610,291.006367077,4.01815457731
P_Cluster_1648,2D PEAK CLUSTER,3,1,290.090325692,291.097602159,4.91943755110
P_Cluster_1649,2D PEAK CLUSTER,2,1,290.097517428,291.104793894,1.93079877673
P_Cluster_1650,2D PEAK CLUSTER,2,1,290.137753648,291.145030114,3.52552629604
P_Cluster_1651,2D PEAK CLUSTER,2,1,290.141572886,291.148849352,7.83075726623
P_Cluster_1652,2D PEAK CLUSTER,3,1,290.174378049,291.181654516,3.97676795218
P_Cluster_1653,2D PEAK CLUSTER,2,1,290.188253551,291.195530018,7.02791303772
P_Cluster_1654,2D PEAK CLUSTER,2,1,290.187807367,291.195083834,7.32139139657
P_Cluster_1655,2D PEAK CLUSTER,2,1,290.187909513,291.195185979,7.48466022912
P_Cluster_1656,2D PEAK CLUSTER,2,1,290.187957518,291.195233984,7.80631291565
P_Cluster_1657,2D PEAK CLUSTER,2,1,290.187857908,291.195134375,8.83645411926
P_Cluster_1658,2D PEAK CLUSTER,2,1,290.187935709,291.195212175,9.36071154385
P_Cluster_1659,2D PEAK CLUSTER,2,1,290.221929898,291.229206365,10.0794756353
P_Cluster_1660,2D PEAK CLUSTER,2,1,290.260871477,291.268147943,9.94936004680
P_Cluster_1661,2D PEAK CLUSTER,2,1,290.260646440,291.267922907,6.26724372848
P_Cluster_1662,2D PEAK CLUSTER,2,1,291.003979534,292.011256000,3.67436752538
P_Cluster_1663,2D PEAK CLUSTER,2,1,292.055457311,293.062733777,1.30260932637
P_Cluster_1664,2D PEAK CLUSTER,2,1,292.128716807,293.135993274,6.00784944726
P_Cluster_1665,2D PEAK CLUSTER,2,1,292.153409935,293.160686401,3.22348684377
P_Cluster_1666,2D PEAK CLUSTER,3,1,292.153301642,293.160578109,3.47290025983
P_Cluster_1667,2D PEAK CLUSTER,2,1,292.165313269,293.172589736,7.09886086409
P_Cluster_1668,2D PEAK CLUSTER,2,1,292.187785151,293.195061618,3.47376264276
P_Cluster_1669,2D PEAK CLUSTER,2,1,292.203349144,293.210625611,6.45439473824
P_Cluster_1670,2D PEAK CLUSTER,2,1,292.203359918,293.210636384,7.07445950887
P_Cluster_1671,2D PEAK CLUSTER,2,1,292.203363223,293.210639690,7.92135742256
P_Cluster_1672,2D PEAK CLUSTER,2,1,292.203349244,293.210625710,8.03759371930
P_Cluster_1673,2D PEAK CLUSTER,2,1,292.203715686,293.210992152,8.30688453395
P_Cluster_1674,2D PEAK CLUSTER,2,1,292.203383007,293.210659473,8.59038384329
P_Cluster_1675,2D PEAK CLUSTER,2,1,292.203379036,293.210655502,8.96539890670
P_Cluster_1676,2D PEAK CLUSTER,2,1,292.203787019,293.211063486,9.22791011107
P_Cluster_1677,2D PEAK CLUSTER,2,1,292.203690008,293.210966475,9.46783739886
P_Cluster_1678,2D PEAK CLUSTER,2,1,292.203450277,293.210726744,10.9239207429
P_Cluster_1679,2D PEAK CLUSTER,2,1,292.240341198,293.247617665,10.8393823480
P_Cluster_1680,2D PEAK CLUSTER,2,1,293.092475632,294.099752099,3.98234311056
P_Cluster_1681,2D PEAK CLUSTER,2,1,293.147122881,294.154399348,2.35548582692
P_Cluster_1682,2D PEAK CLUSTER,2,1,293.173820417,294.181096884,1.47346099691
P_Cluster_1683,2D PEAK CLUSTER,2,1,294.121178317,295.128454783,3.79517277672
P_Cluster_1684,2D PEAK CLUSTER,2,1,294.108189400,295.115465867,4.28830681102
P_Cluster_1685,2D PEAK CLUSTER,2,1,294.144679607,295.151956074,5.68603158501
P_Cluster_1686,2D PEAK CLUSTER,2,1,294.144833258,295.152109725,5.79499966051
P_Cluster_1687,2D PEAK CLUSTER,2,1,294.157772845,295.165049312,3.88546055839
P_Cluster_1688,2D PEAK CLUSTER,2,1,294.162646588,295.169923055,8.06271875823
P_Cluster_1689,2D PEAK CLUSTER,2,1,294.182964455,295.190240922,8.56794738313
P_Cluster_1690,2D PEAK CLUSTER,2,1,294.183455140,295.190731607,7.27903997737
P_Cluster_1691,2D PEAK CLUSTER,2,1,294.219580911,295.226857377,6.81792738313
P_Cluster_1692,2D PEAK CLUSTER,2,1,294.219253068,295.226529535,7.17825549413
P_Cluster_1693,2D PEAK CLUSTER,2,1,294.219286874,295.226563341,7.29367863658
P_Cluster_1694,2D PEAK CLUSTER,2,1,294.219561692,295.226838158,7.51080188987
P_Cluster_1695,2D PEAK CLUSTER,2,1,294.219371938,295.226648405,7.90322910683
P_Cluster_1696,2D PEAK CLUSTER,2,1,294.219367478,295.226643945,8.21967953866
P_Cluster_1697,2D PEAK CLUSTER,2,1,294.218719106,295.225995573,8.45118799624
P_Cluster_1698,2D PEAK CLUSTER,2,1,294.219587956,295.226864423,8.68066698276
P_Cluster_1699,2D PEAK CLUSTER,2,1,294.219191973,295.226468440,9.11318927615
